road_id,from,to,road_name,mileage,limit_speed,average_speed,node_list
R000,V000,V004,滨海大道,0.64,80,80,|[[114.0815, 22.549], [114.0815044951619, 22.5481190701045], [114.0815684711169, 22.5474850768754], [114.0815995191233, 22.5467476867212], [114.0816150431266, 22.5459792485604], [114.0816383291315, 22.5453970984386], [114.0816538531347, 22.5440775581626], [114.0816460911331, 22.5435342180489], [114.0816475, 22.5432396]]
R001,V003,V004,北环大道,0.56,80,80,|[[114.0804368, 22.5432153], [114.0792604, 22.5431917], [114.0778347, 22.5431631], [114.0769126, 22.5431446], [114.0763396, 22.5431331], [114.0762186, 22.5431318]]
R002,V004,V005,北环大道,1.09,80,80,|[[114.0822452508737, 22.5432465488729], [114.0830741634207, 22.5432772493376], [114.0839951773618, 22.5432772493376], [114.0850696936264, 22.5432772493376], [114.0861749103558, 22.5433693507318], [114.0872801270851, 22.5433693507318], [114.0882625419556, 22.5433693507318], [114.0895519614732, 22.5433693507318], [114.0904729754143, 22.543338650267], [114.0913632888907, 22.5434000511965], [114.0922536023671, 22.5434307516612]]
R003,V005,V002,南坪快速路,1.54,90,90,|[[114.0922536023671, 22.5434307516612], [114.0928676116612, 22.5442596642082], [114.0937656416775, 22.5450047711112], [114.0945326971782, 22.5462831969457], [114.0955554378459, 22.5476468511693], [114.0965355643191, 22.5490531195873], [114.0974304624033, 22.5502463170329], [114.098367974682, 22.5513969002841], [114.0993481011552, 22.5527605545076], [114.1, 22.554], [114.1006962301606, 22.5548820249956]]
R004,V002,V001,沿河北路,2.83,60,60,|[[114.1006962301606, 22.5548820249956], [114.1013935824905, 22.5560844616775], [114.1022032521858, 22.557703801068], [114.1036947489928, 22.5587265417356], [114.1050157890219, 22.5596214398198], [114.1071891129407, 22.5603884953206], [114.1090641374981, 22.5608998656544], [114.1111096188334, 22.5612833934048], [114.1131124859743, 22.5614112359883], [114.1150727389206, 22.5615390785717], [114.1175443622009, 22.5615816927662], [114.1195898435362, 22.5616243069607], [114.1217205532605, 22.5613686217938], [114.1240217197628, 22.5611555508213], [114.1262376578761, 22.5606441804875], [114.1262376578761, 22.5606441804875], [114.1277291546831, 22.5598345107923]]
R005,V002,V006,福龙路,2.41,70,70,|[[114.1006962301606, 22.5548820249956], [114.1016574708442, 22.5547378269909], [114.1026847097881, 22.5546061296904], [114.103711948732, 22.5545271113101], [114.105028921737, 22.5545271113101], [114.1060298212208, 22.5545534507702], [114.1067936655636, 22.5545534507702], [114.1077682255873, 22.5547114875308], [114.1089535012918, 22.5551592583525], [114.1096646667145, 22.5555806897141], [114.1104811899776, 22.5561074789161], [114.1112450343205, 22.5564762313575], [114.1120352181235, 22.5570030205595], [114.1128780808466, 22.5575561492216], [114.1135365673491, 22.5579775805832], [114.114300411692, 22.5583726724846], [114.1151432744152, 22.5588994616866], [114.1158544398379, 22.5590574984472], [114.1168026604015, 22.5591891957477], [114.1180142755661, 22.559268214128], [114.1191995512705, 22.5593735719684], [114.1203584875149, 22.5593999114285], [114.1216754605199, 22.559531608729], [114.1226500205436, 22.5595842876492], [114.1236245805673, 22.5595842876492]]
R006,V006,V007,福龙路,0.67,75,75,|[[114.1236245805673, 22.5595842876492], [114.1240979614722, 22.5590118497285], [114.1245775708542, 22.5581896622165], [114.1251256958622, 22.5574017325176], [114.1254340161791, 22.5567850918837], [114.1259136255611, 22.5563054825017], [114.126393234943, 22.5559971621848], [114.12704413339, 22.5556203262418], [114.1281403834059, 22.5552777481118]]
R007,V006,V008,北环彩田立交桥,0.98,80,80,|[[114.1236245805673, 22.5595842876492], [114.1232415161473, 22.5590118497285], [114.1217341723755, 22.5583952090945], [114.1211517895545, 22.5579841153386], [114.1206036645466, 22.5574017325176], [114.1202610864166, 22.5567165762577], [114.12, 22.556], [114.1198157348476, 22.5553805215508], [114.1196787035957, 22.5545925918519], [114.1193361254657, 22.5532565371451], [114.1191648364007, 22.5524000918202]]
R008,V008,V009,福龙立交,0.70,60,60,|[[114.1191648364007, 22.5524000918202], [114.1187880004577, 22.5518862246252], [114.1181028441978, 22.5513038418043], [114.1176917504418, 22.5506872011703], [114.1172806566859, 22.5501733339754], [114.1168353051169, 22.5496594667804], [114.116252922296, 22.5490770839595], [114.115704797288, 22.5486317323905], [114.1151566722801, 22.5481863808216], [114.1147113207111, 22.5477067714396]]
R009,V009,V011,玉龙立交,0.90,70,70,|[[114.1147113207111, 22.5477067714396], [114.1142904392382, 22.5472680432874], [114.1137882111313, 22.5468249008402], [114.1134632400034, 22.5462635870737], [114.113049640386, 22.545909073116], [114.1125474122792, 22.5455250163284], [114.1121042698319, 22.5450818738812], [114.1116020417251, 22.5446091886042], [114.1111588992779, 22.5441069604973], [114.1105384998518, 22.5436047323905], [114.110036271745, 22.5431320471135], [114.1096226721276, 22.5426889046663], [114.1091499868506, 22.5422753050489], [114.108765930063, 22.5417730769421]]
R010,V004,V010,北环香蜜立交,0.66,85,85,|[[114.0816475, 22.5432396], [114.0816010329194, 22.5428681124252], [114.0816633454577, 22.542431924657], [114.0816218037655, 22.5419334243504], [114.0815387203811, 22.5414972365822], [114.0815802620733, 22.5410818196601], [114.0816010329194, 22.5406456318919], [114.0815802620733, 22.5402094441237], [114.0815802620733, 22.5397732563555], [114.0815802620733, 22.5392332143568], [114.0815802620733, 22.538672401512], [114.0816218037655, 22.5382154428976], [114.0816010329194, 22.5377169425911], [114.0816218037655, 22.5373430673612]]
